kind,id,title,description,weight
mission,M-1,"청지기 선서","나에게 주신 달란트로 최선을 다하겠습니다! 외치기",1
mission,M-2,"달란트 칭찬","팀원 2명의 장점을 하나씩 구체적으로 말하기",1
mission,M-3,"응원의 안마","앞사람 어깨 5초간 주물러주기",1
mission,M-4,"손하트 3초","팀원 3명과 대형 손하트를 만들어 3초 유지",1
mission,M-5,"감사 문장 완성","하나님이 주신 최고의 선물은 (____)입니다! 완성",1
mission,M-6,"미소 발사","상대 팀원들을 바라보며 5초간 미소 짓기",1
mission,M-7,"격려의 구호","할 수 있다! 우리는 선한 청지기! 외치기",1
mission,M-8,"지체 선포","우리는 그리스도 안에서 한 몸입니다! 외치기",1
mission,M-9,"하이파이브 파도타기","첫 주자부터 마지막 주자까지 연속 하이파이브",1
mission,M-10,"기쁨의 점프","팀원 전원이 동시에 제자리점프 3회",1
item,I-1,"손가락 살짝 받침권","둘째 손가락으로 물건 측면을 살짝 받치기",10
item,I-2,"지름길 이용권","반환점 콘을 1.5m 앞으로 이동",10
item,I-3,"물건 교체권","어려운 물건을 종이컵 등으로 교체",10
item,I-4,"노 드롭 보험","떨어진 자리에서 올려놓고 바로 출발",10
item,I-5,"슬로모션 패널티","상대 팀 다음 주자가 5초간 까치발 걷기",10
item,I-6,"시간 차감권 (-5초)","최종 완주 기록에서 5초 차감",10
item,I-7,"구원자의 손길","옆 조원이 떨어지는 물건을 1회 잡아주기",10
item,I-8,"두 손 자유 찬스","한 주자만 손바닥 위에 올려 달리기",10
item,I-9,"더블 완성 보너스","해당 주자 무사 완주 시 +20점",10
item,I-10,"에이스 지원권","주자 2명이 함께 손등을 대어 받치기",10
