kind,id,title,description,weight
mission,M-1,"경청의 고백","지체의 목소리에 귀 기울이겠습니다! 외치기",1
mission,M-2,"비밀 수호 선서","내 카드를 절대 보여주지 않겠습니다! 다짐하기",1
mission,M-3,"동행 하이파이브","양옆 팀원과 손을 맞잡고 함께하자! 말하기",1
mission,M-4,"소통의 칭찬","카드를 설명한 지체에게 설명 최고야! 칭찬",1
mission,M-5,"믿음의 구호","하나님의 선하신 계획은 반드시 이루어집니다! 선포",1
mission,M-6,"팀원 한마음 퀴즈","우리 조장님의 성함은? 맞추고 환호하기",1
mission,M-7,"하나님 나라 선포","우리는 하나님 나라의 특별한 주인공! 외치기",1
mission,M-8,"사랑의 안아주기","옆 지체를 안아주며 네 말이 잘 보여! 말하기",1
mission,M-9,"감사 기도 멘트","하나님, 우리 조를 모아주셔서 감사합니다! 외치기",1
mission,M-10,"우주 탐험대 구호","디포스 우주 탐험대, 미션 클리어 가자! 외치기",1
item,I-1,"비밀 1장 살짝 공개권","헷갈리는 카드 1장을 조장에게 3초 공개",10
item,I-2,"시간 일시정지 (30초)","타이머를 멈추고 30초 자유 토론",10
item,I-3,"양끝 확정 힌트","첫 카드와 마지막 카드 소유자를 교사가 지정",10
item,I-4,"선생님 1회 질문권","사건의 앞·뒤 여부를 교사에게 1회 질문",10
item,I-5,"자리 교환 찬스","잘못 선 팀원 2명의 위치를 교사가 수정",10
item,I-6,"키워드 1개 공개","교사가 핵심 연결 단어 1개 제공",10
item,I-7,"오답 1회 면제","최종 제출 오답 시 1회 수정 기회",10
item,I-8,"패스 카드 (1장 스킵)","난해한 카드 1장을 자동 정답 처리",10
item,I-9,"보너스 성공 점수 (+30점)","제한 시간 내 성공 시 +30점",10
item,I-10,"조력 교사 10초 대입","교사가 10초간 소통을 정돈",10
