kind,id,title,description,weight
mission,M-1,"주의 음성 고백","예수님은 나의 참 목자이십니다! 크게 선포하기",1
mission,M-2,"하이파이브 릴레이","우리 팀원 전체와 3초 안에 하이파이브 하기",1
mission,M-3,"천사의 칭찬","옆에 있는 팀원에게 '넌 참 특별한 아이야!' 말해주기",1
mission,M-4,"격려의 허그","팀원 한 명을 안아주며 '하나님은 너를 사랑해!' 외치기",1
mission,M-5,"감사 찬양","'당신은 사랑받기 위해 태어난 사람' 1절 떼창하기",1
mission,M-6,"팀워크 등 맞대기","팀원 1명과 등 맞대고 5초간 버티기",1
mission,M-7,"성경 구절 암송","'나는 하나님이 만드신 특별한 작품이에요!' 크게 외치기",1
mission,M-8,"상대 팀 축복","상대 팀을 향해 손하트 만들고 '축복합니다!' 외치기",1
mission,M-9,"박장대소 5초","팀원 전체가 5초간 크게 웃기",1
mission,M-10,"디포스 탐험대 구호","'우리는 하나님의 거룩한 디포스 탐험대!' 외치기",1
item,I-1,"한 걸음 다가가기","출발선을 과녁 앞 1m 당겨서 출발하기",10
item,I-2,"주의 음성 집중 (더블 점수)","이번 투구로 얻은 점수를 2배(x2)로 인정",10
item,I-3,"소음 차단권","10초간 상대 팀의 교란 목소리 금지",10
item,I-4,"재도전 찬스","과녁을 완전히 벗어나면 1회 재출발 허용",10
item,I-5,"목소리 조력자 추가","아군 가이드를 1명 더 지정",10
item,I-6,"안대 살짝 힌트","출발 전 과녁 방향을 3초간 확인",10
item,I-7,"안전 방패 (+10점)","과녁을 벗어나도 기본 보너스 10점",10
item,I-8,"골드 스팟 가이드","가이드가 과녁 정중앙 앞에서만 목소리 내기",10
item,I-9,"방해 무효화","상대 팀 방해 아이템 1회 무효화",10
item,I-10,"팀 전체 보너스","팀 전원 보너스 점수 +10점",10
