kind,id,title,description,weight
mission,M-1,"선함의 선포","악을 선으로 바꾸시는 하나님을 찬양합니다! 외치기",1
mission,M-2,"믿음의 조준","하나님의 선한 꿈을 향해 명중! 외치기",1
mission,M-3,"안전 준수 서약","선생님의 지도에 순종하여 안전하게 투척하겠습니다!",1
mission,M-4,"상대 팀 응원","상대 팀을 향해 너희도 화이팅! 외치기",1
mission,M-5,"하트 릴레이","손하트를 만들고 하나님 사랑해요! 외치기",1
mission,M-6,"지체 칭찬","앞서 던진 팀원에게 멋진 투구였어! 하이파이브",1
mission,M-7,"감사 고백","나를 특별하게 만드신 하나님 감사합니다! 외치기",1
mission,M-8,"박수 3회","전원이 짝! 짝! 짝! 명중하자! 외치기",1
mission,M-9,"용기의 미소","실패해도 괜찮아, 다음이 있어! 말하기",1
mission,M-10,"드림스타 구호","나는 하나님의 꿈이야! 손을 들고 외치기",1
item,I-1,"한 걸음 다가가기","투척선을 1m 앞으로 이동",10
item,I-2,"보너스 핀 +1개","다트 핀을 1개 더 받아 총 2회 투척",10
item,I-3,"노란 풍선 조준권","중앙 보너스 노란 풍선 전용 조준",10
item,I-4,"상대 점수 방어권","상대 풍선을 맞춰도 상대 점수 방어",10
item,I-5,"점수 더블 찬스","이번 풍선 점수를 2배 적용",10
item,I-6,"빅 타깃 스와프","더 큰 풍선이 있는 구역으로 투척",10
item,I-7,"실패 재도전권","빗나간 경우 1회 재투척",10
item,I-8,"생명 구원 보너스 (+20점)","노란 풍선을 터뜨리면 +20점",10
item,I-9,"아군 풍선 보호막","우리 팀 풍선 1개 감점 방지",10
item,I-10,"교사 대리 투구 찬스","선생님이 팀원 대신 1회 투척",10
